Ride_ID,Driver_ID,Date,Distance_km,Earnings,Tips,Rating
116,98,2023-02-25,17.31,26.78,3.01,3.5
117,32,2023-07-17,14.58,16.67,4.02,4.0
118,30,2023-02-20,24.0,55.4,5.48,4.1
119,71,2023-04-29,25.33,43.41,4.61,4.2
120,18,2023-03-26,7.21,17.23,1.53,3.1
121,34,2023-05-04,14.81,33.45,2.99,4.8
122,13,2023-03-23,6.71,17.38,4.02,4.4
123,96,2023-07-12,39.65,64.99,9.91,4.2
124,89,2023-03-03,33.38,83.62,9.82,4.2
125,47,2023-05-04,23.81,53.96,10.3,4.9
126,92,2023-04-17,2.24,4.62,0.51,3.1
127,38,2023-04-11,11.99,21.51,5.17,3.9
128,72,2023-03-31,25.2,70.76,12.04,3.8
129,57,2023-03-05,48.89,57.94,10.79,4.8
130,57,2023-04-02,27.01,49.68,4.82,4.9
131,19,2023-02-18,4.48,6.23,1.46,3.0
132,33,2023-07-11,29.99,64.97,11.77,4.0
133,80,2023-06-18,31.39,68.86,6.65,3.4
134,95,2023-05-26,7.41,14.46,1.13,3.5
135,8,2023-07-24,23.32,57.94,12.21,4.0
136,48,2023-07-15,27.35,74.13,4.0,3.5
137,25,2023-06-03,35.75,66.67,6.63,4.6
138,28,2023-06-08,45.93,78.32,7.77,3.1
139,11,2023-03-08,43.45,113.52,22.68,3.7
140,22,2023-03-11,24.3,48.83,4.59,4.1
141,4,2023-06-21,12.45,28.77,6.8,4.9
142,63,2023-08-06,20.0,35.03,5.01,3.6
143,31,2023-02-16,44.79,89.82,6.38,4.0
144,20,2023-08-04,17.84,27.09,5.45,4.7
145,76,2023-08-07,16.49,41.42,2.47,3.8
146,81,2023-05-18,15.58,29.77,5.41,4.8
147,18,2023-06-08,3.49,7.16,1.01,3.7
148,24,2023-02-24,20.87,33.16,6.0,3.7
149,45,2023-04-13,22.12,62.32,10.87,3.6
150,13,2023-07-09,7.54,9.33,0.87,4.7
151,18,2023-05-17,33.22,78.37,5.45,3.4
152,11,2023-07-07,9.58,12.09,2.09,4.7
153,58,2023-06-02,2.46,7.23,0.65,4.4
154,48,2023-03-06,14.86,28.21,6.1,3.5
155,63,2023-05-16,48.61,144.28,12.81,3.6
156,4,2023-05-22,29.81,44.67,5.96,4.0
157,31,2023-05-29,27.81,57.12,11.38,3.1
158,19,2023-02-15,46.96,49.28,7.55,4.0
159,66,2023-03-15,47.39,111.94,19.45,3.5
160,84,2023-07-15,36.39,41.29,10.25,3.1
161,57,2023-02-23,17.48,25.54,5.22,4.2
162,86,2023-07-15,6.82,13.93,1.22,4.3
163,39,2023-07-18,11.82,12.6,0.76,4.2
164,63,2023-05-02,14.45,20.28,2.25,4.5
165,18,2023-04-13,14.79,26.42,5.64,3.8
166,43,2023-04-11,40.59,55.22,8.28,4.2
167,54,2023-03-05,41.72,73.77,10.08,4.6
168,40,2023-05-20,23.95,27.42,6.78,4.2
169,66,2023-05-28,35.02,82.51,14.43,4.7
170,86,2023-06-02,5.59,14.18,3.08,4.8
171,84,2023-05-05,32.65,85.74,9.06,3.2
172,67,2023-04-17,41.53,96.51,8.06,3.5
173,44,2023-06-15,33.87,95.63,8.9,3.1
174,93,2023-06-27,1.41,1.94,0.47,5.0
175,78,2023-04-20,32.72,66.35,4.42,4.9
176,75,2023-02-24,14.43,26.9,1.84,3.1
177,75,2023-03-08,30.64,86.44,5.38,3.9
178,4,2023-06-04,21.01,59.71,5.48,4.2
179,73,2023-07-02,38.01,50.38,7.11,3.8
180,31,2023-07-05,15.41,23.09,1.8,3.4
181,45,2023-07-21,43.06,86.32,19.77,4.2
182,36,2023-08-05,25.51,71.83,16.15,4.4
183,43,2023-03-25,8.65,9.55,0.65,4.8
184,3,2023-08-01,6.32,11.94,1.8,4.9
185,10,2023-05-30,5.48,12.82,3.15,3.4
186,14,2023-04-10,48.33,109.4,22.3,4.5
187,46,2023-07-20,19.79,28.3,4.75,3.7
188,29,2023-07-08,42.6,51.88,11.63,5.0
189,35,2023-03-05,10.78,15.67,2.19,3.6
190,77,2023-07-10,37.92,98.61,12.2,4.7
191,72,2023-05-14,16.68,32.47,5.19,4.5
192,38,2023-04-06,34.63,101.04,6.32,3.3
193,37,2023-03-04,29.81,50.81,9.17,3.5
194,28,2023-07-15,13.74,18.73,1.26,3.2
195,82,2023-03-07,7.7,15.99,1.28,4.4
196,36,2023-05-25,13.75,24.08,3.99,3.7
197,55,2023-07-22,27.06,67.36,4.38,3.8
198,99,2023-07-17,24.09,41.23,6.69,3.0
199,56,2023-05-11,8.03,22.57,3.46,3.5
200,49,2023-04-02,28.87,39.55,9.87,4.6
201,35,2023-08-09,20.02,46.02,8.67,4.6
202,13,2023-04-28,47.82,60.89,12.64,4.7
203,94,2023-08-08,32.71,95.77,16.88,3.8
204,15,2023-06-03,9.98,28.96,4.58,3.5
205,82,2023-02-21,44.16,131.6,19.57,4.4
206,16,2023-06-25,9.85,25.18,3.93,4.5
207,50,2023-07-06,40.24,55.69,7.68,4.9
208,31,2023-07-11,21.63,45.79,4.8,4.6
209,54,2023-03-04,23.42,46.57,8.97,4.6
210,27,2023-03-10,36.62,101.74,5.59,3.1
211,44,2023-03-02,24.37,46.89,10.44,4.8
212,28,2023-05-01,27.41,76.45,12.73,4.7
213,27,2023-06-14,11.7,23.06,5.17,3.6
214,74,2023-06-03,10.85,25.34,4.87,3.5
215,76,2023-05-22,8.31,15.47,3.14,4.9
216,55,2023-05-01,20.35,23.41,5.78,4.6
217,40,2023-03-03,3.33,4.17,0.42,3.1
218,48,2023-05-01,26.72,74.91,13.05,4.4
219,64,2023-07-31,28.13,81.08,11.3,4.6
220,86,2023-05-23,42.31,103.69,15.86,3.9
221,46,2023-07-26,13.9,26.18,3.55,4.9
222,69,2023-02-18,36.81,81.44,11.38,4.5
223,16,2023-03-07,46.36,89.7,17.93,3.1
224,37,2023-07-07,7.65,9.05,1.25,4.7
225,39,2023-06-28,46.41,107.98,19.5,3.3
226,4,2023-08-06,23.13,27.98,5.68,3.6
227,84,2023-06-07,35.01,44.39,7.51,4.8
228,81,2023-07-17,7.63,10.14,1.11,3.4
229,16,2023-06-10,6.6,15.75,3.71,3.7
230,64,2023-03-21,30.8,44.9,9.92,3.7
231,59,2023-07-15,12.77,17.79,1.56,4.8
232,26,2023-04-22,24.18,52.31,9.27,3.6
233,45,2023-06-17,26.85,39.45,5.84,3.6
234,62,2023-05-01,30.81,53.92,7.27,3.3
235,13,2023-04-10,14.58,20.46,2.11,4.1
236,47,2023-06-10,14.16,31.11,1.71,4.4
237,75,2023-03-31,9.03,24.84,3.54,4.0
238,23,2023-07-07,40.59,111.68,13.31,5.0
239,32,2023-04-04,14.4,29.65,3.25,3.5
240,3,2023-03-23,31.22,41.41,6.45,4.3
241,26,2023-06-11,15.73,43.83,9.96,4.4
242,60,2023-03-16,23.05,26.15,4.12,4.9
243,56,2023-04-26,11.71,20.59,2.38,4.7
244,24,2023-03-25,47.23,123.27,23.68,4.7
245,43,2023-06-15,2.93,8.38,0.44,3.5
246,31,2023-05-27,29.91,40.87,5.99,3.9
247,50,2023-07-15,44.54,45.25,5.25,4.8
248,99,2023-07-27,14.26,29.31,1.91,4.6
249,65,2023-05-20,16.39,33.59,5.5,3.1
250,1,2023-04-17,16.97,40.71,6.89,4.7
251,34,2023-07-03,18.8,42.77,3.55,3.5
252,94,2023-04-24,33.26,83.82,20.73,3.3
253,88,2023-03-20,37.21,63.64,14.87,4.3
254,7,2023-03-29,23.23,30.93,5.91,4.4
255,81,2023-05-18,11.8,28.96,5.17,3.9
256,52,2023-06-22,39.47,74.02,8.1,4.9
257,35,2023-08-02,29.77,66.82,6.61,4.5
258,31,2023-04-03,9.22,10.66,1.06,4.1
259,86,2023-04-20,21.13,34.17,4.97,3.5
260,98,2023-02-13,5.66,8.25,0.41,3.2
261,87,2023-05-25,1.8,3.13,0.53,3.2
262,71,2023-04-28,40.53,114.06,23.43,4.3
263,88,2023-08-04,34.0,97.65,22.46,4.0
264,19,2023-06-09,4.75,12.9,1.01,4.6
265,89,2023-07-11,43.4,124.88,20.93,4.8
266,63,2023-07-16,17.37,37.16,7.68,4.1
267,60,2023-03-12,15.57,20.71,5.15,4.1
268,15,2023-02-18,20.18,24.28,2.86,3.5
269,64,2023-03-22,22.09,60.85,14.09,4.1
270,17,2023-07-29,11.2,20.92,4.25,4.1
271,49,2023-06-26,6.01,17.14,3.33,4.1
272,55,2023-03-21,23.71,70.42,8.24,3.2
273,83,2023-02-24,6.03,13.47,0.79,3.1
274,85,2023-03-16,49.17,113.52,26.47,4.7
275,18,2023-04-11,7.33,20.22,1.96,4.3
276,94,2023-03-21,13.26,36.95,6.67,3.4
277,77,2023-07-26,18.19,34.22,2.5,3.5
278,38,2023-05-01,36.59,62.67,7.59,3.7
279,40,2023-05-08,37.04,41.19,9.53,3.5
280,81,2023-05-18,39.44,76.55,14.99,4.5
281,4,2023-06-27,31.86,34.95,3.85,4.0
282,92,2023-03-20,21.87,26.12,2.03,4.0
283,17,2023-03-18,17.7,30.35,1.88,3.1
284,40,2023-02-14,9.05,18.06,2.23,3.7
285,2,2023-04-10,3.93,6.28,0.85,3.5
286,34,2023-06-14,3.66,7.79,0.76,3.7
287,61,2023-08-01,1.56,3.47,0.34,4.0
288,93,2023-06-14,49.35,128.36,11.16,4.8
289,26,2023-07-11,46.3,93.2,10.42,3.2
290,21,2023-07-29,38.94,91.81,17.92,4.1
291,73,2023-04-29,32.74,74.48,3.77,4.9
292,76,2023-06-15,12.1,36.24,3.93,4.5
293,79,2023-04-14,18.16,24.53,1.45,4.0
294,43,2023-03-04,34.19,58.01,10.31,4.8
295,76,2023-03-06,10.2,13.39,0.93,3.7
296,94,2023-06-04,25.98,40.26,2.55,3.5
297,96,2023-08-01,39.5,50.19,5.08,4.9
298,81,2023-06-09,9.38,14.36,2.01,4.6
299,53,2023-04-07,30.75,34.4,4.19,4.8
300,22,2023-06-16,16.72,48.77,3.0,4.0
301,59,2023-03-15,41.82,50.54,11.88,4.9
302,19,2023-02-23,37.37,53.27,5.69,3.6
303,39,2023-03-05,15.08,28.83,6.23,3.4
304,12,2023-07-11,23.98,67.24,7.88,3.4
305,79,2023-06-05,2.28,6.62,1.14,4.2
306,37,2023-04-23,13.91,16.56,2.37,3.9
307,98,2023-03-31,38.4,59.39,14.65,4.0
308,70,2023-07-19,35.47,69.21,6.96,3.8
309,22,2023-07-27,28.64,76.12,15.48,3.3
310,84,2023-06-18,37.27,74.2,9.06,4.8
311,79,2023-06-01,16.29,34.0,4.02,4.7
312,15,2023-04-25,8.88,12.64,0.77,4.9
313,33,2023-02-23,24.08,52.9,6.8,4.9
314,15,2023-06-11,11.79,23.88,3.39,4.6
315,90,2023-06-25,22.55,44.8,5.69,4.1
316,22,2023-03-18,18.13,51.1,11.29,3.8
317,35,2023-02-13,35.37,38.91,3.86,3.1
318,96,2023-06-27,7.24,7.76,1.68,3.8
319,22,2023-06-22,38.56,82.88,16.36,3.8
320,57,2023-07-07,31.82,61.58,12.9,4.8
321,51,2023-07-12,6.14,16.16,3.04,3.7
322,51,2023-04-22,27.36,41.38,8.59,4.3
323,66,2023-04-29,39.45,117.0,6.12,3.8
324,49,2023-05-12,31.4,85.45,20.49,3.1
325,80,2023-07-04,49.16,109.06,9.12,3.7
326,87,2023-03-18,29.3,41.94,8.02,3.9
327,71,2023-05-31,32.8,73.42,3.78,3.9
328,4,2023-05-06,10.1,29.53,5.93,3.9
329,74,2023-04-06,42.06,76.29,7.68,4.6
330,24,2023-07-16,13.07,31.25,3.1,4.5
331,24,2023-04-06,25.5,55.66,7.77,3.9
332,92,2023-07-02,18.38,48.0,5.05,5.0
333,26,2023-05-11,37.84,60.09,10.31,4.2
334,2,2023-07-29,14.48,29.63,1.69,5.0
335,95,2023-04-27,44.09,118.89,14.39,3.1
336,22,2023-06-20,23.44,27.25,1.52,3.2
337,2,2023-04-08,46.18,79.67,8.26,4.7
338,36,2023-03-29,13.84,20.35,4.4,3.1
339,80,2023-03-17,11.66,18.63,4.2,4.3
340,80,2023-07-11,5.68,6.22,1.16,4.4
341,21,2023-03-17,43.51,104.91,7.72,4.2
342,10,2023-05-23,14.61,31.52,3.13,3.7
343,66,2023-03-13,46.94,125.3,15.3,4.0
344,94,2023-04-24,45.53,116.26,11.27,4.0
345,57,2023-05-10,11.86,22.48,1.7,3.6
346,5,2023-07-28,20.15,30.82,3.35,3.2
347,82,2023-04-22,1.45,2.94,0.19,3.2
348,31,2023-07-30,12.9,21.52,4.03,3.5
349,9,2023-05-04,33.88,99.2,20.28,3.2
350,76,2023-04-24,8.12,22.93,3.05,4.8
351,65,2023-04-09,2.38,6.36,1.34,3.7
352,52,2023-03-30,45.13,63.29,11.61,4.4
353,70,2023-03-12,47.25,113.32,28.03,4.4
354,71,2023-07-20,14.14,31.64,2.51,4.1
355,91,2023-05-19,21.73,42.3,6.56,3.1
356,35,2023-03-28,48.59,121.17,7.54,4.1
357,15,2023-07-09,13.98,35.16,4.26,4.1
358,98,2023-04-16,18.2,45.87,10.57,3.3
359,22,2023-06-01,18.4,53.2,8.89,3.9
360,81,2023-03-01,31.25,83.26,15.42,4.3
361,47,2023-07-03,22.07,53.05,2.88,3.6
362,54,2023-07-21,37.57,89.8,20.24,3.6
363,26,2023-04-08,32.87,86.69,10.87,3.8
364,8,2023-06-13,45.57,73.97,9.18,4.8
365,35,2023-04-12,1.05,2.76,0.64,4.6
366,43,2023-07-16,8.33,17.86,4.18,4.8
367,35,2023-07-21,20.87,35.92,2.61,4.9
368,9,2023-03-26,49.54,144.17,10.4,4.4
369,50,2023-05-06,24.73,58.01,4.4,3.8
370,56,2023-06-24,6.17,13.66,1.08,4.5
371,16,2023-08-08,25.53,48.53,4.3,3.2
372,93,2023-06-05,32.29,63.18,6.53,4.0
373,81,2023-06-06,13.98,34.51,5.68,3.3
374,84,2023-05-08,30.78,38.47,8.77,3.6
375,32,2023-07-12,49.13,61.94,10.25,3.4
376,29,2023-04-21,42.72,56.55,5.73,4.3
377,14,2023-04-18,13.8,14.18,3.35,4.9
378,24,2023-03-28,24.13,38.24,9.08,4.4
379,43,2023-05-08,1.08,2.75,0.29,3.8
380,52,2023-04-25,31.1,43.29,7.93,3.5
381,6,2023-06-06,20.27,24.06,2.94,3.3
382,51,2023-06-08,13.42,33.15,7.09,3.2
383,38,2023-08-06,12.02,13.96,0.94,4.5
384,44,2023-03-15,25.94,75.39,14.02,4.6
385,92,2023-06-09,12.57,17.41,1.34,3.8
386,73,2023-06-04,23.56,56.55,9.14,4.1
387,65,2023-05-11,29.92,72.36,4.21,4.8
388,19,2023-05-14,21.87,36.18,3.78,4.2
389,99,2023-03-06,5.72,8.94,1.55,3.7
390,20,2023-06-20,8.3,13.92,1.1,5.0
391,92,2023-07-29,8.82,14.39,1.36,4.1
392,15,2023-07-12,27.87,59.41,3.14,3.3
393,22,2023-03-30,9.34,11.9,2.97,5.0
394,24,2023-03-15,43.36,57.63,5.13,4.9
395,24,2023-08-05,11.92,17.78,3.13,3.9
396,83,2023-04-13,1.11,2.91,0.19,4.6
397,2,2023-07-11,19.8,56.86,9.49,4.1
398,26,2023-07-09,20.77,41.27,5.36,3.4
399,77,2023-07-09,4.93,14.17,2.18,4.2
400,87,2023-05-09,47.98,137.82,16.15,4.8
401,93,2023-04-04,21.04,40.02,5.02,4.2
402,52,2023-05-10,5.87,16.09,1.94,4.2
403,35,2023-03-08,19.06,22.73,4.73,4.1
404,12,2023-02-28,15.25,23.67,4.52,4.6
405,87,2023-04-01,2.36,6.27,1.36,4.5
406,29,2023-06-24,8.54,9.94,2.35,3.7
407,9,2023-05-24,8.19,21.77,1.11,3.4
408,20,2023-05-14,9.68,15.66,0.91,4.1
409,97,2023-06-16,15.72,43.87,3.63,3.2
410,93,2023-03-15,1.87,3.6,0.41,4.4
411,90,2023-06-07,16.94,49.09,8.11,3.4
412,82,2023-06-10,43.81,72.94,11.06,4.8
413,23,2023-05-14,19.25,53.13,8.46,4.1
414,32,2023-07-06,14.15,17.31,2.82,3.1
415,38,2023-03-17,10.32,25.83,4.46,4.9
416,6,2023-05-15,45.49,106.07,13.09,4.2
417,87,2023-06-03,30.73,31.45,4.94,4.7
418,77,2023-03-22,8.85,13.82,2.3,4.3
419,33,2023-07-19,47.54,85.55,15.46,3.4
420,73,2023-03-26,39.15,77.27,8.28,3.1
421,82,2023-05-25,28.5,52.1,3.86,4.0
422,85,2023-06-15,33.39,88.31,18.87,3.6
423,15,2023-05-14,41.48,50.52,7.31,3.7
424,11,2023-04-11,20.36,41.14,9.84,4.6
425,20,2023-06-29,48.11,50.79,3.85,4.8
426,17,2023-07-23,39.15,53.34,10.24,3.7
427,77,2023-06-08,29.08,49.27,4.25,4.5
428,68,2023-05-01,42.55,79.03,9.02,4.5
429,16,2023-05-31,38.86,51.8,10.82,4.0
430,54,2023-03-08,43.63,114.18,18.17,5.0
431,99,2023-08-09,8.79,23.17,1.66,3.1
432,67,2023-06-10,17.12,31.73,4.93,3.1
433,76,2023-03-05,25.33,46.25,10.21,4.0
434,70,2023-06-04,10.64,24.33,3.57,3.6
435,95,2023-05-22,24.8,47.14,10.73,4.4
436,11,2023-08-02,46.11,48.11,3.12,4.4
437,56,2023-02-16,2.51,6.38,1.56,3.9
438,8,2023-03-20,22.74,56.45,8.97,3.1
439,39,2023-03-08,42.28,51.54,6.98,4.5
440,42,2023-06-26,38.24,112.14,12.28,4.2
441,21,2023-06-07,8.8,9.54,2.25,4.8
442,89,2023-03-17,18.67,39.07,6.6,5.0
443,82,2023-05-10,16.83,18.05,3.2,3.6
444,89,2023-05-31,41.12,72.63,6.68,3.8
445,65,2023-05-21,34.6,51.72,6.53,3.6
446,94,2023-03-06,6.77,15.89,3.04,3.3
447,24,2023-03-07,22.65,31.17,5.79,4.6
448,21,2023-05-29,47.14,89.64,22.33,3.3
449,52,2023-07-21,29.39,54.98,4.14,5.0
450,56,2023-07-19,38.33,108.06,22.02,3.6
451,40,2023-06-28,14.53,41.67,8.34,3.7
452,55,2023-03-12,2.92,4.1,0.61,3.5
453,79,2023-06-02,10.35,21.12,3.96,4.5
454,95,2023-07-05,45.05,73.46,9.97,3.0
455,19,2023-03-11,37.69,70.48,5.22,4.3
456,11,2023-06-29,29.51,35.56,7.52,4.8
457,94,2023-05-01,16.82,31.42,2.89,4.8
458,29,2023-05-15,42.05,50.22,8.99,3.7
459,34,2023-04-28,41.75,67.37,7.83,4.7
460,4,2023-03-12,28.48,82.03,13.27,3.2
461,20,2023-07-14,47.04,91.46,21.32,3.1
462,60,2023-04-13,1.95,5.01,0.91,4.5
463,6,2023-06-02,21.28,38.66,7.69,3.2
464,23,2023-06-23,5.38,9.55,1.55,3.1
465,95,2023-05-10,1.09,2.59,0.35,3.1
466,68,2023-03-19,22.16,37.3,6.22,4.5
467,85,2023-03-21,6.61,16.09,1.0,4.7
468,85,2023-08-02,2.28,2.4,0.17,3.6
469,61,2023-04-30,43.63,108.49,22.68,4.2
470,70,2023-03-19,46.12,133.45,26.45,4.0
471,73,2023-03-16,28.92,48.43,2.55,3.1
472,19,2023-08-05,23.56,45.03,9.75,5.0
473,34,2023-05-24,7.15,8.33,2.01,4.5
474,72,2023-06-02,33.52,60.53,8.8,4.7
475,43,2023-04-25,47.7,114.73,14.35,3.2
476,39,2023-08-04,16.82,41.67,9.41,4.3
477,94,2023-03-06,15.77,27.06,4.37,3.3
478,13,2023-04-29,32.19,81.91,11.54,3.2
479,43,2023-02-26,29.02,29.21,3.13,3.9
480,30,2023-06-01,32.65,81.92,18.8,3.9
481,11,2023-03-07,7.14,10.28,1.66,4.3
482,1,2023-06-30,44.72,107.12,19.21,3.6
483,42,2023-04-01,30.12,35.36,8.32,3.0
484,30,2023-03-24,15.01,16.19,3.49,4.1
485,13,2023-06-02,1.64,4.41,0.8,3.3
486,38,2023-06-30,29.94,76.04,13.91,4.7
487,58,2023-05-26,11.53,30.21,7.24,4.5
488,40,2023-06-14,16.49,25.07,4.06,4.4
489,50,2023-04-07,35.41,67.19,5.17,4.4
490,29,2023-07-07,45.68,72.98,7.37,4.5
491,23,2023-03-23,36.32,84.96,6.87,3.4
492,61,2023-05-11,13.97,27.05,1.93,4.1
493,89,2023-03-14,28.14,62.32,7.78,3.3
494,94,2023-03-04,44.69,120.7,6.5,4.8
495,77,2023-02-12,43.47,104.36,24.51,4.0
496,39,2023-08-04,6.87,7.02,1.42,3.2
497,2,2023-06-05,26.87,28.3,3.69,4.2
498,89,2023-08-08,43.13,82.57,6.13,3.4
499,48,2023-03-15,6.61,13.38,0.8,4.3
500,42,2023-05-03,16.3,28.85,1.49,4.7
501,21,2023-02-15,21.76,45.99,3.53,4.2
502,77,2023-05-25,28.63,54.05,8.38,4.6
503,4,2023-03-08,32.66,89.11,4.73,4.2
504,37,2023-03-07,44.21,63.85,3.38,4.2
505,3,2023-05-05,15.09,43.53,6.4,3.9
506,89,2023-07-05,7.41,10.46,1.18,3.6
507,14,2023-06-16,8.64,24.26,3.75,3.1
508,46,2023-04-28,17.96,51.04,5.63,4.6
509,66,2023-04-12,23.74,28.31,4.33,3.7
510,87,2023-05-28,44.33,48.6,4.52,4.0
511,50,2023-04-04,40.66,70.84,16.78,3.7
512,98,2023-03-20,22.18,64.85,7.33,3.3
513,72,2023-05-16,36.51,94.91,12.54,4.5
514,96,2023-04-04,33.89,90.72,15.09,4.1
515,57,2023-04-04,23.25,52.96,7.85,3.6
